Monat;Portionen;Boxen;Umsatz (€);CM (€);Fixkosten (€);Marketing-Spend (€);EBITDA (€);EBITDA kum. (€)
1;0;0;0;0;3000;0;-3000;-3000
2;0;0;0;0;3000;0;-3000;-6000
3;0;0;0;0;3000;0;-3000;-9000
4;300;10;970;397;5500;600;-5703;-14703
5;600;20;1941;794;5500;1200;-5906;-20608
6;900;30;2912;1192;5500;1800;-6108;-26717
7;1200;40;3882;1589;5500;1800;-5711;-32428
8;1800;60;5823;2383;5500;2700;-5817;-38245
9;2400;80;7764;3178;5500;3600;-5922;-44167
10;3000;100;9810;3788;8000;3000;-7212;-51379
11;3900;130;12753;4924;8000;3900;-6976;-58355
12;4800;160;15696;6060;8000;4800;-6740;-65095
13;5700;190;18639;7197;8000;4180;-4983;-70078
14;6600;220;21582;8333;8000;4840;-4507;-74585
15;7500;250;24525;9469;8000;5500;-4031;-78616
16;8400;280;27468;10606;8000;6160;-3554;-82170
17;9000;300;29430;11363;8000;6600;-3237;-85407
18;9600;320;31392;12121;8000;7040;-2919;-88326
19;10200;340;33354;12878;8000;7480;-2602;-90927
20;10800;360;35316;13636;8000;7920;-2284;-93212
21;11400;380;37278;14393;8000;8360;-1967;-95178
22;12000;400;39240;15151;8000;8800;-1649;-96827
23;12600;420;41202;15909;8000;9240;-1331;-98158
24;13200;440;43164;16666;8000;9680;-1014;-99172
