"Rubrik";"Kontonummer";"Kontobezeichnung";"Betrag";"Ergebnis"
"Raumkosten";"6310";"Büromiete / betriebliche Räume und Nutzungsflächen";"-720,00";""
"Versich./Beiträge";"6430";"Sonstige Abgaben";"-886,45";""
"Kfz-Kosten";"6595";"Fremdfahrzeugkosten";"-1101,12";""
"Werbe-/Reisekosten";"6600";"Werbekosten";"-31,60";""
"Werbe-/Reisekosten";"6640";"Bewirtungskosten";"-1438,25";""
"Werbe-/Reisekosten";"6650";"Reisekosten Arbeitnehmer";"-37,90";""
"Werbe-/Reisekosten";"6663";"Reisekosten Arbeitnehmer Fahrtkosten";"-57,79";""
"Kosten Warenabgabe";"6780";"Fremdleistungen (Marketing und Vertrieb)";"-6090,00";""
"Abschreibungen";"6260";"Sofortabschreibung GWG";"-755,46";""
"Sonstige Kosten";"6300";"Sonstige betriebliche Aufwendungen";"-30,00";""
"Sonstige Kosten";"6303";"Fremdleistungen (Administrativ)";"-5388,14";""
"Sonstige Kosten";"6805";"Telefon";"-301,39";""
"Sonstige Kosten";"6810";"Internetkosten";"-460,23";""
"Sonstige Kosten";"6815";"Bürobedarf";"-26,23";""
"Sonstige Kosten";"6820";"Zeitschriften, Bücher";"-1,00";""
"Sonstige Kosten";"6825";"Rechts- und Beratungskosten";"-17000,00";""
"Sonstige Kosten";"6830";"Buchführungskosten";"-109,31";""
"Sonstige Kosten";"6837";"Softwarekosten (z.B. Gebühren Softwarenutzung, SaaS)";"-2956,10";""
"Sonstige Kosten";"6850";"Sonstiger Betriebsbedarf";"-346,07";""
"Sonstige Kosten";"6855";"Nebenkosten des Geldverkehrs";"-311,11";""
"Sonstige Kosten";"6880";"Aufwendungen aus der Währungsumrechnung";"-131,69";""
"Gesamtkosten";"";"";"";"-38179,84"
"Betriebsergebnis";"";"";"";"-38179,84"
"Sonst. neutraler Ertrag";"4830";"Sonstige betriebliche Erträge (neutral)";"45,68";""
"Sonst. neutraler Ertrag";"4840";"Erträge aus der Währungsumrechnung";"18,09";""
"Neutraler Ertrag";"";"";"";"63,77"
"Ergebnis";"";"";"";"-38116,07"
